"segmento";"nome";"id";"pregao";"site";"ticker";"ano";"ativo";"pl";"rec_liq";"lucro_bruto";"lucro_liq";"EBIT";"deprec_amort";"EBITDA";"margem_liq";"div_curto_prazo";"div_longo_prazo";"caixa";"div_liq";"div_total";"size";"leverage";"EBIT.rate";"ROA";"ROE";"GAO";"main.sector";"sector.activity";"sub.sector";"listagem";"ibovespa"
"água e Saneamento";"CIA. DE SANEAMENTO DO PARANÁ - SANEPAR";18627;"SANEPAR";"www.sanepar.com.br";"SAPR11;SAPR3;SAPR4";2016;9454119;4808673;3477525;2032417;626847;953866;217111;1170977;18,03;379163;2332911;638330;1,77;2712074;16,0619610775207;0,29;0,27;0,12;0,13;0,47;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Corporate Governance - Level 2";FALSE
"água e Saneamento";"CIA. DE SANEAMENTO DO PARANÁ - SANEPAR";18627;"SANEPAR";"www.sanepar.com.br";"SAPR11;SAPR3;SAPR4";2017;10122671;5152654;3869401;2313266;686172;1136240;247282;1383522;17,73;562548;2154290;533888;1,58;2716838;16,1302881198058;0,27;0,29;0,14;0,13;0,49;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Corporate Governance - Level 2";FALSE
"água e Saneamento";"CIA. DE SANEAMENTO DO PARANÁ - SANEPAR";18627;"SANEPAR";"www.sanepar.com.br";"SAPR11;SAPR3;SAPR4";2018;10781322;5717188;4162205;2482163;892487;1370641;271387;1642028;21,44;478770;2292548;326624;1,49;2771318;16,1933257504345;0,26;0,33;0,15;0,16;0,55;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Corporate Governance - Level 2";FALSE
"água e Saneamento";"CIA. DE SANEAMENTO DO PARANÁ - SANEPAR";18627;"SANEPAR";"www.sanepar.com.br";"SAPR11;SAPR3;SAPR4";2019;11939604;6173914;4722826;2863893;1080034;1634285;337442;1971727;22,87;357213;2723218;274059;1,42;3080431;16,2953714995496;0,26;0,35;0,17;0,17;0,57;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Corporate Governance - Level 2";FALSE
"água e Saneamento";"CIA. DE SANEAMENTO DO PARANÁ - SANEPAR";18627;"SANEPAR";"www.sanepar.com.br";"SAPR11;SAPR3;SAPR4";2020;13190858;6943163;4799655;2878494;996343;1570530;361867;1932397;20,76;521505;3126083;874323;1,44;3647588;16,3950345718576;0,28;0,33;0,15;0,14;0,55;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Corporate Governance - Level 2";FALSE
"água e Saneamento";"COMPANHIA DE SANEAMENTO DE MINAS GERAIS";19445;"COPASA";"www.copasa.com.br";"CSMG3";2012;9028137;4990264;3519027;1351131;481723;763103;379930;1143033;13,69;363005;2696373;497701;2,24;3059378;16,0158565918155;0,34;0,22;0,13;0,1;0,56;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Novo Mercado";FALSE
"água e Saneamento";"COMPANHIA DE SANEAMENTO DE MINAS GERAIS";19445;"COPASA";"www.copasa.com.br";"CSMG3";2013;9388470;5337359;3733397;1391479;419795;726281;430618;1156899;11,24;471930;2685770;261938;2,5;3157700;16,0549928986113;0,34;0,19;0,12;0,08;0,52;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Novo Mercado";FALSE
"água e Saneamento";"COMPANHIA DE SANEAMENTO DE MINAS GERAIS";19445;"COPASA";"www.copasa.com.br";"CSMG3";2014;10161975;5536564;4131432;1408152;318141;619797;488130;1107927;7,7;608793;2828537;331039;2,8;3437330;16,1341633709871;0,34;0,15;0,11;0,06;0,44;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Novo Mercado";FALSE
"água e Saneamento";"COMPANHIA DE SANEAMENTO DE MINAS GERAIS";19445;"COPASA";"www.copasa.com.br";"CSMG3";2015;10930739;5646850;3834469;1136258;0;314942;549710;864652;0;490140;3101419;581854;3,48;3591559;16,207089469944;0,33;0,08;0,08;0;0,28;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Novo Mercado";FALSE
"água e Saneamento";"COMPANHIA DE SANEAMENTO DE MINAS GERAIS";19445;"COPASA";"www.copasa.com.br";"CSMG3";2016;10947481;5939687;4032875;1548477;434161;799327;596782;1396109;10,77;512400;2918525;638743;2;3430925;16,2086199421001;0,31;0,2;0,13;0,07;0,52;"Utilidade Pública";"Saneamento, Serv. Água e Gás";"água e Saneamento";"Novo Mercado";FALSE
